epoch,lr,target_pos_x,target_pos_y,total,pulse,silence,contrast,efficiency,pre_pulse,frequency,frequency_loss,target_peak,sidelobe_peak,total_energy,trajectory_length,trajectory_penalty,jerk,jerk_penalty,trajectory_region,trajectory_region_penalty,target_band_power,off_band_power
10,0.001,0.05,0.05,1.5593668222427368,-0.39559945464134216,6.278546788962558e-05,0.10806957632303238,0.053053516894578934,7.604935672134161e-05,0.3892611861228943,0.007785223890095949,0.00039559946162626147,0.0012784955324605107,8.833353604131844e-08,0.1307079792022705,0.013070798479020596,2.644773289262048e-08,2.644773289262048e-10,0.027827447280287743,1.3913723230361938,0.03627514839172363,0.0002824102411977947
11,0.001,0.05,0.05,1.5496772527694702,-0.39926669001579285,6.435157411033288e-05,0.11276542395353317,0.053607165813446045,8.924162102630362e-05,0.3764995336532593,0.0075299907475709915,0.0003992666897829622,0.0013272875221446157,9.081797713861306e-08,0.13025015592575073,0.013025015592575073,2.991695424725549e-08,2.9916952248854045e-10,0.027857864275574684,1.3928931951522827,0.03847450762987137,0.0002897127706091851
12,0.001,0.05,0.05,1.5366393327713013,-0.40112432837486267,6.607898831134662e-05,0.11783946305513382,0.054742444306612015,0.00010274896339979023,0.35786789655685425,0.0071573578752577305,0.0004011243290733546,0.001378956832922995,9.355522934129112e-08,0.12979429960250854,0.01297943014651537,3.311726715082841e-08,3.3117267261850714e-10,0.027883313596248627,1.3941656351089478,0.042034029960632324,0.0003008526691701263
13,0.001,0.05,0.05,1.5230934619903564,-0.4049358069896698,6.793134525651112e-05,0.11858553439378738,0.0554337203502655,0.00011863593681482598,0.3458689749240875,0.006917379330843687,0.0004049357958137989,0.0013883232604712248,9.643969889339132e-08,0.12889720499515533,0.012889720499515533,3.536071702114896e-08,3.536071713217126e-10,0.02790129743516445,1.3950648307800293,0.04605574905872345,0.00031858516740612686
14,0.001,0.05,0.05,1.5106141567230225,-0.4135361611843109,7.000455661909655e-05,0.12424714863300323,0.05504921078681946,0.00013960579235572368,0.3361669182777405,0.006723338272422552,0.00041353615233674645,0.0014492395566776395,9.964575298226919e-08,0.12764647603034973,0.012764647603034973,3.722550800944191e-08,3.7225506011040466e-10,0.02791425585746765,1.3957128524780273,0.04928432032465935,0.00033135522971861064
15,0.001,0.05,0.05,1.486365556716919,-0.4263177216053009,7.225700392154977e-05,0.12707458436489105,0.0537947379052639,0.00016453798161819577,0.3226492404937744,0.006452985107898712,0.00042631771066226065,0.0014839047798886895,1.0314967369140504e-07,0.12653037905693054,0.012653037905693054,3.956881755584618e-08,3.9568817666868483e-10,0.02792549505829811,1.3962748050689697,0.05118091404438019,0.00033026974415406585
16,0.001,0.05,0.05,1.4718855619430542,-0.44367989897727966,7.47375306673348e-05,0.129385843873024,0.05174499750137329,0.0001936279732035473,0.3247792720794678,0.006495585199445486,0.0004436798917595297,0.0015156983863562346,1.0703547559387516e-07,0.1255011111497879,0.012550110928714275,4.3024108720146614e-08,4.3024106499700565e-10,0.02793673798441887,1.3968368768692017,0.05156369507312775,0.0003349364560563117
17,0.001,0.05,0.05,1.4540821313858032,-0.4616289436817169,7.793476106598973e-05,0.1332193911075592,0.050218433141708374,0.00023067090660333633,0.32196521759033203,0.006439304444938898,0.0004616289515979588,0.0015630082925781608,1.1203797356529321e-07,0.12441442906856537,0.012441443279385567,4.74604995304162e-08,4.746049664383634e-10,0.027951158583164215,1.3975579738616943,0.05372442677617073,0.00034594800672493875
18,0.001,0.05,0.05,1.4235528707504272,-0.4814217984676361,8.191783126676455e-05,0.1421339511871338,0.048919253051280975,0.00027970303199253976,0.3028160631656647,0.006056321319192648,0.0004814217973034829,0.001662050373852253,1.1827057733171387e-07,0.12333439290523529,0.012333439663052559,5.2948962547816336e-08,5.294896188168252e-10,0.027968207374215126,1.3984103202819824,0.057906992733478546,0.00035070342710241675
19,0.001,0.05,0.05,1.3830304145812988,-0.5051537752151489,8.667256770422682e-05,0.15481851994991302,0.04741557314991951,0.0003493416297715157,0.27389246225357056,0.005477849394083023,0.000505153788253665,0.0018007621401920915,1.257367756579697e-07,0.12235506623983383,0.012235506437718868,5.8630739374621044e-08,5.863073915257644e-10,0.027987724170088768,1.3993861675262451,0.06426474452018738,0.00035203262814320624
20,0.001,0.05,0.05,1.3479094505310059,-0.5435918569564819,9.24113774090074e-05,0.1703316867351532,0.044117897748947144,0.00044966847053729,0.26395946741104126,0.005279189441353083,0.0005435918574221432,0.0019751128274947405,1.3477669824624172e-07,0.12160234153270721,0.012160234153270721,6.455708501107438e-08,6.455708190244991e-10,0.02800779789686203,1.4003899097442627,0.07133936882019043,0.000376614072592929
21,0.001,0.05,0.05,1.2861967086791992,-0.6022251844406128,9.842048166319728e-05,0.18485920131206512,0.03871290758252144,0.0005784285021945834,0.25070473551750183,0.005014094989746809,0.0006022251909598708,0.002149704610928893,1.4427340033762448e-07,0.12160112708806992,0.012160113081336021,7.103876953351573e-08,7.103876931147113e-10,0.028026161715388298,1.4013080596923828,0.07794468104839325,0.00039082206785678864
22,0.001,0.05,0.05,1.196759581565857,-0.687987208366394,0.00010419909085612744,0.2022274136543274,0.031752780079841614,0.0007405819487757981,0.23549318313598633,0.004709863569587469,0.0006879871943965554,0.0023662676103413105,1.5346955706263543e-07,0.12276078015565872,0.012276078574359417,7.854832517750765e-08,7.854832340115081e-10,0.028043050318956375,1.4021525382995605,0.08441045135259628,0.0003975617582909763
23,0.001,0.05,0.05,1.0894824266433716,-0.805787980556488,0.00010881976777454838,0.2212618887424469,0.02442718669772148,0.0009402730502188206,0.23306095600128174,0.004661219194531441,0.0008057879749685526,0.0026155130472034216,1.610470263813113e-07,0.12503445148468018,0.012503445148468018,8.725297107048391e-08,8.725297151457312e-10,0.028059355914592743,1.4029678106307983,0.09038621932268143,0.0004213100182823837
24,0.001,0.05,0.05,0.957087516784668,-0.9515546560287476,0.00011148649355163798,0.23209933936595917,0.01812455989420414,0.0011883025290444493,0.24056032299995422,0.004811206366866827,0.0009515546262264252,0.0027967707719653845,1.659224011518745e-07,0.12746669352054596,0.012746669352054596,9.540528367324441e-08,9.540528367324441e-10,0.028076229616999626,1.4038114547729492,0.09830967336893082,0.0004729881475213915
25,0.001,0.05,0.05,0.807040810585022,-1.101208209991455,0.00011201485176570714,0.2283191829919815,0.013715075328946114,0.0014430016744881868,0.247065931558609,0.004941318649798632,0.0011012081522494555,0.0028337957337498665,1.6768865407357225e-07,0.1295057237148285,0.012950572185218334,1.0264738392606887e-07,1.0264737948517677e-09,0.02809286303818226,1.404643177986145,0.10871187597513199,0.0005371800507418811
26,0.001,0.05,0.05,0.6799215078353882,-1.205446481704712,0.00011094726505689323,0.20928411185741425,0.011401720345020294,0.0015984633937478065,0.24456363916397095,0.004891272634267807,0.0012054464314132929,0.0026955644134432077,1.6681869396961702e-07,0.13046416640281677,0.013046416454017162,1.0853775478381067e-07,1.085377565601675e-09,0.028107251971960068,1.405362606048584,0.11895859986543655,0.0005818589706905186
27,0.001,0.05,0.05,0.6355692744255066,-1.2194781303405762,0.00010936654143733904,0.18236306309700012,0.010999317280948162,0.0015517964493483305,0.2412610650062561,0.004825221374630928,0.0012194780865684152,0.0024333696346729994,1.6467372176975914e-07,0.1294003278017044,0.012940033338963985,1.1153998258350839e-07,1.1153997725443787e-09,0.028116457164287567,1.4058228731155396,0.12214397639036179,0.0005893717752769589
28,0.001,0.05,0.05,0.6538829803466797,-1.1777896881103516,0.00010812473192345351,0.1540277898311615,0.011654884554445744,0.001412734854966402,0.24596187472343445,0.004919237457215786,0.001177789643406868,0.0021291726734489202,1.6284070625260938e-07,0.12616556882858276,0.012616557069122791,1.1013293743644681e-07,1.1013293610417918e-09,0.028117815032601357,1.405890703201294,0.11844108253717422,0.0005826398264616728
29,0.001,0.05,0.05,0.6823019981384277,-1.154035210609436,0.00010765988554339856,0.16173098981380463,0.01209772564470768,0.0013443036004900932,0.24327656626701355,0.0048655313439667225,0.0011540352134034038,0.002194327535107732,1.623269554329454e-07,0.12237880378961563,0.012237880378961563,1.0788735949063266e-07,1.0788735460565135e-09,0.028110839426517487,1.405542016029358,0.11635588854551315,0.0005661332397721708
30,0.001,0.05,0.05,0.6818815469741821,-1.1546779870986938,0.00010760567965917289,0.16874203085899353,0.012099253945052624,0.0013481259811669588,0.23735785484313965,0.004747156985104084,0.0011546779423952103,0.0022647592704743147,1.625270016347713e-07,0.11984594911336899,0.011984595097601414,1.0675584860564413e-07,1.0675584860564413e-09,0.028098400682210922,1.404919981956482,0.11555492132902145,0.0005485573783516884
31,0.001,0.05,0.05,0.6813242435455322,-1.1638760566711426,0.00010773431858979166,0.17026688158512115,0.011950231157243252,0.0013805126072838902,0.24559888243675232,0.004911977797746658,0.0011638760333880782,0.002284606918692589,1.6307373584822926e-07,0.11890435218811035,0.011890435591340065,1.0604816225168179e-07,1.0604815914305732e-09,0.028080113232135773,1.4040056467056274,0.11504875123500824,0.0005651169340126216
32,0.001,0.05,0.05,0.6677825450897217,-1.1777290105819702,0.00010792236571433023,0.1741483062505722,0.011721622198820114,0.0014190713409334421,0.243464857339859,0.00486929714679718,0.0011777289910241961,0.0023303476627916098,1.6375641109789285e-07,0.11799006909132004,0.011799006722867489,1.0453138088450942e-07,1.0453138354904468e-09,0.028057018294930458,1.402850866317749,0.11630026996135712,0.000566300586797297
33,0.001,0.05,0.05,0.6307632923126221,-1.1958897113800049,0.00010821785690495744,0.17618215084075928,0.01143009401857853,0.0014612000668421388,0.22430163621902466,0.004486032761633396,0.0011958896648138762,0.0023597662802785635,1.6461073926166137e-07,0.11637969315052032,0.011637969873845577,1.0139319783775136e-07,1.0139319384094847e-09,0.0280306339263916,1.40153169631958,0.11988137662410736,0.0005377918132580817
